Nomor Registrasi,Nama Produk,Komposisi,Bentuk Sediaan,Kemasan,Pendaftar,Perusahaan,Negara_Asal,Tanggal Terbit,Masa Berlaku s/d,Status,Kategori_Obat,Golongan_Obat,Asal_Obat,Jumlah_Zat_Aktif,Durasi_Registrasi_Tahun,Sudah_Kedaluwarsa,Jumlah_Varian_Kemasan
DBI1381601737A2,DUPHALAC,LACTULOSE SOLUTION,"SIRUP; 3,335 G","DUS, 10 STICK @ 15 ML",ABBOTT INDONESIA - Indonesia,ABBOTT INDONESIA,Indonesia,2024-06-04,2026-06-04,Berlaku,Obat Bebas - Impor,Obat Bebas,Impor,1,2.0,False,1
DBL0007101404B1,EMTURNAS FORTE,PARACETAMOL,KAPLET,"DUS, 10 AMPLOP @ 1 STRIP @ 10 KAPLET ;; DUS, 10 AMPLOP @ 1 STRIP @ 10 KAPTAB",PERUSAHAAN INDUSTRI FARMASI DAN DAGANG FIRST MEDIPHARMA - Indonesia,PERUSAHAAN INDUSTRI FARMASI DAN DAGANG FIRST MEDIPHARMA,Indonesia,2025-06-20,2030-04-14,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,4.8,False,2
DBL0008502563A1,LAMBUCID,DRIED ALUMINIUM HYDROXIDE GEL | MAGNESIUM HYDROXIDE | SIMETHICONE,TABLET KUNYAH,"DUS, 20 STRIP @ 10 TABLET KUNYAH",HEXPHARM JAYA LABORATORIES - Indonesia,HEXPHARM JAYA LABORATORIES,Indonesia,2024-10-21,2029-09-06,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,3,4.9,False,1
DBL0008502633A1,LAMBUCID,MAGNESIUM HYDROXIDE. SIMETHICONE EMULSION 30. DRIED ALUMINIUM HYDROXIDE GEL,SUSPENSI; 300 MG /167 MG /300 mg,"DUS,1 BOTOL PLASTIK @ 60 ML ;; DUS,1  BOTOL PLASTIK @ 100 ML",HEXPHARM JAYA LABORATORIES - Indonesia,HEXPHARM JAYA LABORATORIES,Indonesia,2020-02-01,2025-02-01,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,True,2
DBL0016109809A1,XEPAZYM,PANCREATIN | SIMETHICONE,KAPLET SALUT SELAPUT,"DUS, 3 STRIP @ 10 KAPLET SALUT SELAPUT",METISKA FARMA  - Indonesia,METISKA FARMA,Indonesia,2025-07-23,2030-07-23,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,2,5.0,False,1
DBL0022231404A1,POLDAN MIG,ACETYLSALICYLIC ACID | CAFFEINE ANHYDROUS | PARACETAMOL,KAPLET,"DUS, 25 CATCH COVER @ 1 STRIP @ 4 KAPLET",SANBE FARMA - Indonesia,SANBE FARMA,Indonesia,2025-08-01,2030-08-01,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,3,5.0,False,1
DBL0022231409A1,POLDAN MIG,PARACETAMOL. ACETYLSALICYLIC ACID. CAFFEINE,KAPLET SALUT SELAPUT; 400 MG /250 MG /65 MG,"DUS, 25 CATCH COVER @ 1 STRIP @ 4 KAPLET SALUT SELAPUT",SANBE FARMA - Indonesia,SANBE FARMA,Indonesia,2023-11-07,2025-08-23,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,1.8,True,1
DBL0026006304A1,TROPIGESIC,PARACETAMOL,KAPLET; 500 mg,BOTOL PLASTIK @ 100 KAPLET,TROPICA MAS PHARMACEUTICALS - Indonesia,TROPICA MAS PHARMACEUTICALS,Indonesia,2024-07-01,2028-02-01,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,3.6,False,1
DBL0026006304A2,TROPIGESIC,PARACETAMOL,KAPLET; 500 MG,"DUS, 10 AMPLOP @ 1 STRIP @ 10 KAPLET",TROPICA MAS PHARMACEUTICALS - Indonesia,TROPICA MAS PHARMACEUTICALS,Indonesia,2024-07-01,2027-11-17,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,3.4,False,1
DBL0033201817A1,PROBION,THIAMINE MONONITRATE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN,TABLET SALUT SELAPUT; 100 MG /200 MG /200 MCG,"DUS, 10 AMPLOP @ 1 STRIP @ 10 TABLET SALUT SELAPUT",PROMEDRAHARDJO FARMASI INDUSTRI - Indonesia,PROMEDRAHARDJO FARMASI INDUSTRI,Indonesia,2024-06-21,2029-06-18,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,1
