food_id,food_name,food_name_en,source,calories,proteins,fat,carbohydrate,weight_grams,fiber,sugars,sodium,pct_protein,pct_fat,pct_carb,calorie_density,macro_category
1,Abon,,nutrition1_indonesia,280.0,9.2,28.4,0.0,100.0,,,,12.6,87.4,0.0,2.8,High Fat
2,Abon haruwan,,nutrition1_indonesia,513.0,23.7,37.0,21.3,100.0,,,,18.5,64.9,16.6,5.13,High Fat
3,Agar-agar,,nutrition1_indonesia,0.0,0.0,0.2,0.0,100.0,,,,0.0,100.0,0.0,0.0,High Fat
4,Akar tonjong segar,,nutrition1_indonesia,45.0,1.1,0.4,10.8,100.0,,,,8.6,7.0,84.4,0.45,High Carb
5,Aletoge segar,,nutrition1_indonesia,37.0,4.4,0.5,3.8,100.0,,,,47.2,12.1,40.8,0.37,High Protein
6,Alpukat segar,,nutrition1_indonesia,85.0,0.9,6.5,7.7,100.0,,,,3.9,63.0,33.2,0.85,High Fat
7,Ampas kacang hijau,,nutrition1_indonesia,96.0,3.7,0.6,19.1,100.0,,,,15.3,5.6,79.1,0.96,High Carb
8,Ampas Tahu,,nutrition1_indonesia,414.0,26.6,18.3,41.3,100.0,,,,24.4,37.7,37.9,4.14,Balanced
9,Ampas tahu kukus,,nutrition1_indonesia,75.0,4.1,2.1,10.7,100.0,,,,21.0,24.2,54.8,0.75,Balanced
10,Ampas tahu mentah,,nutrition1_indonesia,67.0,5.0,2.1,8.1,100.0,,,,28.1,26.5,45.4,0.67,Balanced
11,Anak sapi daging gemuk segar,,nutrition1_indonesia,184.0,18.8,14.0,0.0,100.0,,,,37.4,62.6,0.0,1.84,High Fat
12,Anak sapi daging kurus segar,,nutrition1_indonesia,174.0,19.6,10.0,0.0,100.0,,,,46.6,53.4,0.0,1.74,High Protein
13,Anak sapi daging sedang segar,,nutrition1_indonesia,190.0,19.1,12.0,0.0,100.0,,,,41.4,58.6,0.0,1.9,High Protein
14,Andaliman segar,,nutrition1_indonesia,99.0,4.6,1.0,18.0,100.0,,,,18.5,9.1,72.4,0.99,High Carb
15,Andewi,,nutrition1_indonesia,25.0,1.6,0.2,5.3,100.0,,,,21.8,6.1,72.1,0.25,High Carb
16,Anggur hutan segar,,nutrition1_indonesia,30.0,0.5,0.2,6.8,100.0,,,,6.5,5.8,87.7,0.3,High Carb
17,Angsa,,nutrition1_indonesia,354.0,16.4,31.5,0.0,100.0,,,,18.8,81.2,0.0,3.54,High Fat
18,Anyang sayur,,nutrition1_indonesia,126.0,3.4,7.9,10.3,100.0,,,,10.8,56.5,32.7,1.26,High Fat
19,Apel,,nutrition1_indonesia,58.0,0.3,0.4,14.9,100.0,,,,1.9,5.6,92.5,0.58,High Carb
20,Apel malang segar,,nutrition1_indonesia,57.0,0.5,0.4,12.8,100.0,,,,3.5,6.3,90.1,0.57,High Carb
21,Arbei,,nutrition1_indonesia,37.0,0.8,0.5,8.3,100.0,,,,7.8,11.0,81.2,0.37,High Carb
22,Ares sayur,,nutrition1_indonesia,113.0,0.9,7.2,11.2,100.0,,,,3.2,57.2,39.6,1.13,High Fat
23,Arrowroot segar,,nutrition1_indonesia,102.0,1.0,0.2,24.1,100.0,,,,3.9,1.8,94.3,1.02,High Carb
24,Arwan sirsir,,nutrition1_indonesia,277.0,2.4,25.0,10.7,100.0,,,,3.5,81.1,15.4,2.77,High Fat
25,Asam kandis segar,,nutrition1_indonesia,75.0,0.2,1.1,16.1,100.0,,,,1.1,13.2,85.8,0.75,High Carb
26,Asam masak di pohon,,nutrition1_indonesia,239.0,2.8,0.6,62.5,100.0,,,,4.2,2.0,93.8,2.39,High Carb
27,Asam payak segar,,nutrition1_indonesia,135.0,0.8,0.4,32.1,100.0,,,,2.4,2.7,95.0,1.35,High Carb
28,Asan kandis kering,,nutrition1_indonesia,261.0,0.9,1.6,63.3,100.0,,,,1.3,5.3,93.4,2.61,High Carb
29,Asinan Bogor sayuran,,nutrition1_indonesia,98.0,3.9,2.6,14.8,100.0,,,,15.9,23.8,60.3,0.98,Balanced
30,Ayam,,nutrition1_indonesia,302.0,18.2,25.0,0.0,100.0,,,,24.4,75.6,0.0,3.02,High Fat
31,Ayam  goreng Kentuckysayap,,nutrition1_indonesia,297.0,35.9,15.2,1.6,100.0,,,,50.1,47.7,2.2,2.97,High Protein
32,Ayam ampela goreng,,nutrition1_indonesia,270.0,32.3,11.2,9.9,100.0,,,,47.9,37.4,14.7,2.7,High Protein
33,Ayam dideh/darah segar,,nutrition1_indonesia,75.0,13.8,1.9,0.7,100.0,,,,73.5,22.8,3.7,0.75,High Protein
34,Ayam goreng church texa sayap,,nutrition1_indonesia,295.0,34.0,16.0,1.5,100.0,,,,47.6,50.3,2.1,2.95,High Protein
35,Ayam goreng church texas dada,,nutrition1_indonesia,338.0,35.2,20.6,0.4,100.0,,,,43.0,56.6,0.5,3.38,High Protein
36,Ayam goreng kalasan paha,,nutrition1_indonesia,275.0,37.4,12.2,1.3,100.0,,,,56.5,41.5,2.0,2.75,High Protein
37,Ayam goreng kentucky dada,,nutrition1_indonesia,298.0,34.2,16.8,0.1,100.0,,,,47.4,52.4,0.1,2.98,High Protein
38,Ayam goreng Kentucky paha,,nutrition1_indonesia,286.0,32.1,16.1,1.1,100.0,,,,46.2,52.2,1.6,2.86,High Protein
39,Ayam goreng mbok berek dada,,nutrition1_indonesia,295.0,39.2,13.6,1.0,100.0,,,,55.4,43.2,1.4,2.95,High Protein
40,Ayam goreng paha,,nutrition1_indonesia,287.0,31.0,15.7,1.7,100.0,,,,45.6,51.9,2.5,2.87,High Protein
41,Ayam goreng pasundan dada,,nutrition1_indonesia,246.0,37.9,9.0,0.7,100.0,,,,64.4,34.4,1.2,2.46,High Protein
42,Ayam goreng pasundan paha,,nutrition1_indonesia,245.0,33.1,11.4,0.3,100.0,,,,56.1,43.4,0.5,2.45,High Protein
43,Ayam goreng pioneer dada,,nutrition1_indonesia,295.0,37.4,14.7,0.6,100.0,,,,52.6,46.5,0.8,2.95,High Protein
44,Ayam goreng sukabumi dada,,nutrition1_indonesia,244.0,36.7,9.2,1.0,100.0,,,,62.8,35.4,1.7,2.44,High Protein
45,Ayam goreng sukabumi paha,,nutrition1_indonesia,283.0,35.7,14.3,0.5,100.0,,,,52.2,47.1,0.7,2.83,High Protein
46,Ayam hati segar,,nutrition1_indonesia,261.0,27.4,16.1,1.6,100.0,,,,42.0,55.5,2.5,2.61,High Protein
47,Ayam taliwang masakan,,nutrition1_indonesia,264.0,18.2,20.1,2.7,100.0,,,,27.5,68.4,4.1,2.64,High Fat
48,Ayam usus goreng,,nutrition1_indonesia,473.0,45.2,26.3,13.9,100.0,,,,38.2,50.0,11.8,4.73,High Fat
49,Babat,,nutrition1_indonesia,113.0,17.6,4.2,0.0,100.0,,,,65.1,34.9,0.0,1.13,High Protein
50,Babi daging gemuk segar,,nutrition1_indonesia,453.0,11.9,45.0,0.0,100.0,,,,10.5,89.5,0.0,4.53,High Fat
51,Babi daging kurus segar,,nutrition1_indonesia,371.0,14.1,35.0,0.0,100.0,,,,15.2,84.8,0.0,3.71,High Fat
52,Babi ginjal segar,,nutrition1_indonesia,110.0,16.3,4.6,0.8,100.0,,,,59.4,37.7,2.9,1.1,High Protein
53,Babi hati segar,,nutrition1_indonesia,129.0,19.7,4.8,1.7,100.0,,,,61.2,33.5,5.3,1.29,High Protein
54,Babi hutan masak rica masakan,,nutrition1_indonesia,491.0,24.6,16.3,0.2,100.0,,,,40.0,59.7,0.3,4.91,High Protein
55,Bacang,,nutrition1_indonesia,102.9,3.3,2.7,16.3,100.0,,,,12.9,23.7,63.5,1.03,Balanced
56,Bagea kelapa asin,,nutrition1_indonesia,450.0,3.2,13.9,78.1,100.0,,,,2.8,27.8,69.4,4.5,High Carb
57,Bagea kelapa manis,,nutrition1_indonesia,452.0,1.3,13.8,80.6,100.0,,,,1.2,27.5,71.4,4.52,High Carb
58,Bagea kenari asin,,nutrition1_indonesia,529.0,3.2,29.1,63.6,100.0,,,,2.4,49.5,48.1,5.29,Balanced
59,Bagea kenari manis,,nutrition1_indonesia,523.0,3.2,28.2,64.2,100.0,,,,2.4,48.5,49.1,5.23,Balanced
60,Bagea kw 1,,nutrition1_indonesia,416.0,6.5,9.4,76.3,100.0,,,,6.3,20.3,73.4,4.16,High Carb
61,Bagea kw 2,,nutrition1_indonesia,382.0,0.3,3.5,87.2,100.0,,,,0.3,8.3,91.4,3.82,High Carb
62,Baje,,nutrition1_indonesia,129.0,1.9,6.6,15.6,100.0,,,,5.9,45.9,48.2,1.29,Balanced
63,Bakpia kue,,nutrition1_indonesia,272.0,8.7,6.7,44.1,100.0,,,,12.8,22.2,65.0,2.72,High Carb
64,Bakso,,nutrition1_indonesia,76.0,4.1,2.5,9.2,100.0,,,,21.7,29.7,48.6,0.76,Balanced
